iter	Passed	Remaining
416	2623	3667
417	2629	3661
418	2634	3653
419	2638	3643
420	2644	3637
421	2649	3629
422	2654	3621
423	2661	3615
424	2666	3608
425	2671	3600
426	2677	3593
427	2682	3585
428	2686	3575
429	2691	3567
430	2695	3558
431	2700	3550
432	2706	3544
433	2711	3536
434	2716	3528
435	2722	3522
436	2728	3514
437	2734	3508
438	2739	3501
439	2745	3494
440	2750	3486
441	2757	3481
442	2762	3472
443	2767	3465
444	2773	3458
445	2779	3452
446	2789	3450
447	2795	3443
448	2805	3442
449	2815	3441
450	2823	3437
451	2829	3430
452	2835	3423
453	2842	3418
454	2847	3411
455	2856	3408
456	2866	3406
457	2876	3404
458	2882	3397
459	2890	3392
460	2896	3386
461	2903	3380
462	2909	3374
463	2916	3369
464	2924	3364
465	2929	3357
466	2938	3353
467	2943	3345
468	2949	3339
469	2956	3333
470	2961	3326
471	2975	3328
472	2984	3325
473	2991	3319
474	2997	3313
475	3015	3319
476	3027	3319
477	3040	3320
478	3054	3321
479	3062	3317
480	3077	3320
481	3090	3321
482	3099	3317
483	3108	3313
484	3116	3309
485	3123	3303
486	3131	3298
487	3137	3292
488	3142	3283
489	3151	3280
490	3158	3274
491	3166	3269
492	3171	3261
493	3175	3252
494	3181	3245
495	3187	3238
496	3192	3230
497	3198	3224
498	3204	3217
499	3209	3209
500	3215	3203
501	3220	3195
502	3226	3187
503	3230	3179
504	3236	3172
505	3241	3164
506	3248	3158
507	3254	3151
508	3260	3144
509	3264	3136
510	3271	3130
511	3282	3128
512	3291	3124
513	3310	3130
514	3332	3138
515	3348	3140
516	3353	3132
517	3358	3125
518	3363	3117
519	3368	3108
520	3374	3102
521	3380	3095
522	3385	3087
523	3390	3079
524	3396	3072
525	3400	3064
526	3405	3056
527	3410	3048
528	3415	3040
529	3420	3033
530	3427	3027
531	3432	3019
532	3437	3011
533	3443	3004
534	3448	2997
535	3453	2989
536	3460	2983
537	3465	2976
538	3473	2970
539	3479	2963
540	3484	2956
541	3491	2950
542	3497	2943
543	3501	2935
